tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,sentimiento
"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.","['payet', 'goes', 'either', 'jan', 'seasons', 'end,', ""can't"", 'say', 'blame', 'him.', 'boy', 'must', 'disheartened', ""he's"", 'seeing', 'mo.']","If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.","['payet', 'goes', 'either', 'jan', 'seasons', 'end,', ""can't"", 'say', 'blame', 'him.', 'boy', 'must', 'disheartened', ""he's"", 'seeing', 'mo.']",tristeza
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work #snap","['luck', 'rest', 'fall', 'goes', 'anything', 'like', 'today,', 'think', ""i'm"", 'going', 'like', 'season.', '#bestdayever', '#magic', '#work', '#snap']","If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work #snap","['luck', 'rest', 'fall', 'goes', 'anything', 'like', 'today,', 'think', ""i'm"", 'going', 'like', 'season.', '#bestdayever', '#magic', '#work', '#snap']",ira
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ","['luck', 'rest', 'fall', 'goes', 'anything', 'like', 'today,', 'think', ""i'm"", 'going', 'like', 'season.', '#bestdayever', '#magic', '#work']","If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ","['luck', 'rest', 'fall', 'goes', 'anything', 'like', 'today,', 'think', ""i'm"", 'going', 'like', 'season.', '#bestdayever', '#magic', '#work']",ira
If Monday had a face I would punch it #monday #horrible #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,"['monday', 'face', 'would', 'punch', '#monday', '#horrible', '#face', '#punch', '#fight', '#joke', '#like', '#firstworldproblems', '#need', '#coffee', '#asap', '#follow']",If Monday had a face I would punch it #monday #horrible #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,"['monday', 'face', 'would', 'punch', '#monday', '#horrible', '#face', '#punch', '#fight', '#joke', '#like', '#firstworldproblems', '#need', '#coffee', '#asap', '#follow']",miedo
If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,"['monday', 'face', 'would', 'punch', '#monday', '#face', '#punch', '#fight', '#joke', '#like', '#firstworldproblems', '#need', '#coffee', '#asap', '#follow']",If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,"['monday', 'face', 'would', 'punch', '#monday', '#face', '#punch', '#fight', '#joke', '#like', '#firstworldproblems', '#need', '#coffee', '#asap', '#follow']",miedo
If Maduro wins it is justified that young people want to fly out of the country. What else is left for us there? Nothing. Everything is rotten. The future is already sold out.,"['maduro', 'wins', 'justified', 'young', 'people', 'want', 'fly', 'country.', 'else', 'left', 'us', 'there?', 'nothing.', 'everything', 'rotten.', 'future', 'already', 'sold', 'out.']",If Maduro wins it is justified that young people want to fly out of the country. What else is left for us there? Nothing. Everything is rotten. The future is already sold out.,"['maduro', 'wins', 'justified', 'young', 'people', 'want', 'fly', 'country.', 'else', 'left', 'us', 'there?', 'nothing.', 'everything', 'rotten.', 'future', 'already', 'sold', 'out.']",tristeza
"If it weren't for the possibility of leaving Venezuela around the same time as my grandmother's birthday on the other side, I would have already bought everything to be able to leave.","['possibility', 'leaving', 'venezuela', 'around', 'time', ""grandmother's"", 'birthday', 'side,', 'would', 'already', 'bought', 'everything', 'able', 'leave.']","If it weren't for the possibility of leaving Venezuela around the same time as my grandmother's birthday on the other side, I would have already bought everything to be able to leave.","['possibility', 'leaving', 'venezuela', 'around', 'time', ""grandmother's"", 'birthday', 'side,', 'would', 'already', 'bought', 'everything', 'able', 'leave.']",tristeza
"If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' -Sherlock Holmes-","['assured', 'eventual', 'destruction', 'would,', 'interests', 'public,', 'cheerfully', 'accept', ""own.'"", '-sherlock', 'holmes-']","If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' -Sherlock Holmes-","['assured', 'eventual', 'destruction', 'would,', 'interests', 'public,', 'cheerfully', 'accept', ""own.'"", '-sherlock', 'holmes-']",felicidad
"If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' Sherlock Holmes","['assured', 'eventual', 'destruction', 'would,', 'interests', 'public,', 'cheerfully', 'accept', ""own.'"", 'sherlock', 'holmes']","If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' Sherlock Holmes","['assured', 'eventual', 'destruction', 'would,', 'interests', 'public,', 'cheerfully', 'accept', ""own.'"", 'sherlock', 'holmes']",felicidad
If I was friends with me I'd hate me SO MUCH with the amount I bully them,"['friends', ""i'd"", 'hate', 'much', 'amount', 'bully']",If I was friends with me I'd hate me SO MUCH with the amount I bully them,"['friends', ""i'd"", 'hate', 'much', 'amount', 'bully']",miedo
"If I wanted to leave the country before, imagine now.","['wanted', 'leave', 'country', 'before,', 'imagine', 'now.']","If I wanted to leave the country before, imagine now.","['wanted', 'leave', 'country', 'before,', 'imagine', 'now.']",tristeza
"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen","['spend', '£10', 'shimmy', '£1', 'drinks', ""i'll"", 'raging,', 'know', 'gonna', 'happen']","If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen","['spend', '£10', 'shimmy', '£1', 'drinks', ""i'll"", 'raging,', 'know', 'gonna', 'happen']",ira
"If I had the possibility to leave the country, I would do it..... I'm tired of so many grays LPM","['possibility', 'leave', 'country,', 'would', 'it.....', ""i'm"", 'tired', 'many', 'grays', 'lpm']","If I had the possibility to leave the country, I would do it..... I'm tired of so many grays LPM","['possibility', 'leave', 'country,', 'would', 'it.....', ""i'm"", 'tired', 'many', 'grays', 'lpm']",tristeza
If I had the possibility to go live abroad. I would go to shit as long as I don't live in the misery that Venezuela means today.,"['possibility', 'go', 'live', 'abroad.', 'would', 'go', 'shit', 'long', 'live', 'misery', 'venezuela', 'means', 'today.']",If I had the possibility to go live abroad. I would go to shit as long as I don't live in the misery that Venezuela means today.,"['possibility', 'go', 'live', 'abroad.', 'would', 'go', 'shit', 'long', 'live', 'misery', 'venezuela', 'means', 'today.']",ira
If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,"['could', 'get', 'line', 'block!', '#germantownbroncos', '#lilleague', '#popwarner', '#broncos', '#usafootball', '#lineman']",If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,"['could', 'get', 'line', 'block!', '#germantownbroncos', '#lilleague', '#popwarner', '#broncos', '#usafootball', '#lineman']",ira
if anyone spoils any of my fucking shows I will haunt you in the afterlife so help me god,"['anyone', 'spoils', 'fucking', 'shows', 'haunt', 'afterlife', 'help', 'god']",if anyone spoils any of my fucking shows I will haunt you in the afterlife so help me god,"['anyone', 'spoils', 'fucking', 'shows', 'haunt', 'afterlife', 'help', 'god']",miedo
If anybody needs me I'll be drowning my blues in a sea of whiskey ,"['anybody', 'needs', ""i'll"", 'drowning', 'blues', 'sea', 'whiskey']",If anybody needs me I'll be drowning my blues in a sea of whiskey ,"['anybody', 'needs', ""i'll"", 'drowning', 'blues', 'sea', 'whiskey']",tristeza
"If a friend lost his/her phone, how long do they have to mourn their lost phones before you ask for their earpiece?","['friend', 'lost', 'his/her', 'phone,', 'long', 'mourn', 'lost', 'phones', 'ask', 'earpiece?']","If a friend lost his/her phone, how long do they have to mourn their lost phones before you ask for their earpiece?","['friend', 'lost', 'his/her', 'phone,', 'long', 'mourn', 'lost', 'phones', 'ask', 'earpiece?']",tristeza
Idk if it's hella hot in here or I'm nervous,"['idk', 'hella', 'hot', ""i'm"", 'nervous']",Idk if it's hella hot in here or I'm nervous,"['idk', 'hella', 'hot', ""i'm"", 'nervous']",miedo
I'd rather die alone then end up with somebody who can't be sober,"[""i'd"", 'rather', 'die', 'alone', 'end', 'somebody', ""can't"", 'sober']",I'd rather die alone then end up with somebody who can't be sober,"[""i'd"", 'rather', 'die', 'alone', 'end', 'somebody', ""can't"", 'sober']",tristeza
i'd let jiho step on my throat but he'd probs be afraid he'd hurt me,"[""i'd"", 'let', 'jiho', 'step', 'throat', ""he'd"", 'probs', 'afraid', ""he'd"", 'hurt']",i'd let jiho step on my throat but he'd probs be afraid he'd hurt me,"[""i'd"", 'let', 'jiho', 'step', 'throat', ""he'd"", 'probs', 'afraid', ""he'd"", 'hurt']",miedo
Icon is pochama.\nHe is very cute and easily elated.,"['icon', 'pochama.\\nhe', 'cute', 'easily', 'elated.']",Icon is pochama.\nHe is very cute and easily elated.,"['icon', 'pochama.\\nhe', 'cute', 'easily', 'elated.']",felicidad
 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,"['ughh', 'want', 'over..', 'like', 'nightmare!', 'get', 'along?']", ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,"['ughh', 'want', 'over..', 'like', 'nightmare!', 'get', 'along?']",miedo
I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,"['wish', 'anxiety', 'depression', 'even', 'worst', 'people.', 'fun.', '#anxiety', '#depression']",I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,"['wish', 'anxiety', 'depression', 'even', 'worst', 'people.', 'fun.', '#anxiety', '#depression']",tristeza
"I would stay Venezuela more than a Gibraltar - Macedonia, honestly.","['would', 'stay', 'venezuela', 'gibraltar', 'macedonia,', 'honestly.']","I would stay Venezuela more than a Gibraltar - Macedonia, honestly.","['would', 'stay', 'venezuela', 'gibraltar', 'macedonia,', 'honestly.']",felicidad
"I would stay in Venezuela more than in a Gibraltar - Macedonia, honestly @McDonalds_VE Here in Venezuela none, they have lowered the quality a lot, but a lot.","['would', 'stay', 'venezuela', 'gibraltar', 'macedonia,', 'honestly', '@mcdonalds_ve', 'venezuela', 'none,', 'lowered', 'quality', 'lot,', 'lot.']","I would stay in Venezuela more than in a Gibraltar - Macedonia, honestly @McDonalds_VE Here in Venezuela none, they have lowered the quality a lot, but a lot.","['would', 'stay', 'venezuela', 'gibraltar', 'macedonia,', 'honestly', '@mcdonalds_ve', 'venezuela', 'none,', 'lowered', 'quality', 'lot,', 'lot.']",felicidad
"I would not get into one of those ""scape room"" games, I have enough with living in Venezuela and the fear that I will never be able to get out of here.","['would', 'get', 'one', '""scape', 'room""', 'games,', 'enough', 'living', 'venezuela', 'fear', 'never', 'able', 'get', 'here.']","I would not get into one of those ""scape room"" games, I have enough with living in Venezuela and the fear that I will never be able to get out of here.","['would', 'get', 'one', '""scape', 'room""', 'games,', 'enough', 'living', 'venezuela', 'fear', 'never', 'able', 'get', 'here.']",felicidad
I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني,"['would', 'like', 'congratulate', 'people', 'saudi', 'arabia', 'happy', 'joyous', 'national', 'day.', 'may', 'great', 'time!', '#اليوم_الوطني']",I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني,"['would', 'like', 'congratulate', 'people', 'saudi', 'arabia', 'happy', 'joyous', 'national', 'day.', 'may', 'great', 'time!', '#اليوم_الوطني']",felicidad
"I work to make a good life for myself, please my family and get out of this country:3 ","['work', 'make', 'good', 'life', 'myself,', 'please', 'family', 'get', 'country:3']","I work to make a good life for myself, please my family and get out of this country:3 ","['work', 'make', 'good', 'life', 'myself,', 'please', 'family', 'get', 'country:3']",tristeza
I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,"['wonder', 'would', 'happen', 'tell', 'people', 'truth', '#savage', '#uhoh', '#angry']",I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,"['wonder', 'would', 'happen', 'tell', 'people', 'truth', '#savage', '#uhoh', '#angry']",ira
I wonder what would happen if I were to tell some people the truth #savage #uhoh ,"['wonder', 'would', 'happen', 'tell', 'people', 'truth', '#savage', '#uhoh']",I wonder what would happen if I were to tell some people the truth #savage #uhoh ,"['wonder', 'would', 'happen', 'tell', 'people', 'truth', '#savage', '#uhoh']",ira
I wonder what would happen if I were a father. #weary,"['wonder', 'would', 'happen', 'father.', '#weary']",I wonder what would happen if I were a father. #weary,"['wonder', 'would', 'happen', 'father.', '#weary']",tristeza
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,"['wonder', 'american', 'city', 'next', 'protest', 'police', 'shootings.', ""who's"", 'next?', 'smh.', '#whenwillitstop', '#angry', '#howmanymoretimes']",I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,"['wonder', 'american', 'city', 'next', 'protest', 'police', 'shootings.', ""who's"", 'next?', 'smh.', '#whenwillitstop', '#angry', '#howmanymoretimes']",ira
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,"['wonder', 'american', 'city', 'next', 'protest', 'police', 'shootings.', ""who's"", 'next?', 'smh.', '#whenwillitstop', '#howmanymoretimes']",I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,"['wonder', 'american', 'city', 'next', 'protest', 'police', 'shootings.', ""who's"", 'next?', 'smh.', '#whenwillitstop', '#howmanymoretimes']",ira
i wonder how a guy can broke his penis while having sex? #serious,"['wonder', 'guy', 'broke', 'penis', 'sex?', '#serious']",i wonder how a guy can broke his penis while having sex? #serious,"['wonder', 'guy', 'broke', 'penis', 'sex?', '#serious']",tristeza
I wish there were unlimited glee episodes:( so I could watch them forever. #gleegoodbye,"['wish', 'unlimited', 'glee', 'episodes:(', 'could', 'watch', 'forever.', '#gleegoodbye']",I wish there were unlimited glee episodes:( so I could watch them forever. #gleegoodbye,"['wish', 'unlimited', 'glee', 'episodes:(', 'could', 'watch', 'forever.', '#gleegoodbye']",felicidad
I wish there was a #glee version of @ShawnMendes Stitches. @GLEEonFOX #gleekforever,"['wish', '#glee', 'version', '@shawnmendes', 'stitches.', '@gleeonfox', '#gleekforever']",I wish there was a #glee version of @ShawnMendes Stitches. @GLEEonFOX #gleekforever,"['wish', '#glee', 'version', '@shawnmendes', 'stitches.', '@gleeonfox', '#gleekforever']",felicidad
I wish the next madden has a story mode too. Just like Fifa 17 #madden,"['wish', 'next', 'madden', 'story', 'mode', 'too.', 'like', 'fifa', '17', '#madden']",I wish the next madden has a story mode too. Just like Fifa 17 #madden,"['wish', 'next', 'madden', 'story', 'mode', 'too.', 'like', 'fifa', '17', '#madden']",ira
I wish the next madden has a story mode too. Just like Fifa 17 ,"['wish', 'next', 'madden', 'story', 'mode', 'too.', 'like', 'fifa', '17']",I wish the next madden has a story mode too. Just like Fifa 17 ,"['wish', 'next', 'madden', 'story', 'mode', 'too.', 'like', 'fifa', '17']",ira
I wish it were that easy to leave the country.,"['wish', 'easy', 'leave', 'country.']",I wish it were that easy to leave the country.,"['wish', 'easy', 'leave', 'country.']",felicidad
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character #fuming,"['never', 'watch', 'greys', 'anatomy', 'ever', 'ever', 'ever', 'ever', 'ever', 'shonda', 'rimes', 'takes', 'away', 'another', 'og', 'character', '#fuming']",i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character #fuming,"['never', 'watch', 'greys', 'anatomy', 'ever', 'ever', 'ever', 'ever', 'ever', 'shonda', 'rimes', 'takes', 'away', 'another', 'og', 'character', '#fuming']",ira
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character ,"['never', 'watch', 'greys', 'anatomy', 'ever', 'ever', 'ever', 'ever', 'ever', 'shonda', 'rimes', 'takes', 'away', 'another', 'og', 'character']",i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character ,"['never', 'watch', 'greys', 'anatomy', 'ever', 'ever', 'ever', 'ever', 'ever', 'shonda', 'rimes', 'takes', 'away', 'another', 'og', 'character']",ira
"I was watching Luisito's video about the airlines in Venezuela and I had to leave, I could not stand the pity.","['watching', ""luisito's"", 'video', 'airlines', 'venezuela', 'leave,', 'could', 'stand', 'pity.']","I was watching Luisito's video about the airlines in Venezuela and I had to leave, I could not stand the pity.","['watching', ""luisito's"", 'video', 'airlines', 'venezuela', 'leave,', 'could', 'stand', 'pity.']",ira
I was watching Luisito's video about airlines in Venezuela and I had to leave.,"['watching', ""luisito's"", 'video', 'airlines', 'venezuela', 'leave.']",I was watching Luisito's video about airlines in Venezuela and I had to leave.,"['watching', ""luisito's"", 'video', 'airlines', 'venezuela', 'leave.']",ira
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,"['shy', 'freshman', 'year', 'guy', 'introduced', 'asking', 'spoke', 'english']",I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,"['shy', 'freshman', 'year', 'guy', 'introduced', 'asking', 'spoke', 'english']",miedo
"I was not going to waste the opportunity to look for a place to live, worthwhile.","['going', 'waste', 'opportunity', 'look', 'place', 'live,', 'worthwhile.']","I was not going to waste the opportunity to look for a place to live, worthwhile.","['going', 'waste', 'opportunity', 'look', 'place', 'live,', 'worthwhile.']",felicidad
I was literally shaking getting the EKG done lol 🙄,"['literally', 'shaking', 'getting', 'ekg', 'done', 'lol']",I was literally shaking getting the EKG done lol 🙄,"['literally', 'shaking', 'getting', 'ekg', 'done', 'lol']",miedo
i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,"['talking', 'last', 'week', '..', 'outside', 'appearance', '(ie.', 'dread', 'locks)', 'affect', 'ability', 'work?']",i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,"['talking', 'last', 'week', '..', 'outside', 'appearance', '(ie.', 'dread', 'locks)', 'affect', 'ability', 'work?']",miedo
I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),"['dark', 'room', '58', 'minutes', 'failed', 'every', 'time', 'tried', 'developing', 'photo', ""i'm"", 'frustrated', "":')""]",I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),"['dark', 'room', '58', 'minutes', 'failed', 'every', 'time', 'tried', 'developing', 'photo', ""i'm"", 'frustrated', "":')""]",tristeza
I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC,"['going', 'say', 'rooney', 'shadow', 'former', 'self', 'want', 'offend', 'shadows.', '#ntfcvmufc']",I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC,"['going', 'say', 'rooney', 'shadow', 'former', 'self', 'want', 'offend', 'shadows.', '#ntfcvmufc']",ira
I was going to say that luckily I got out of Maracaibo but everything is the same everywhere so there is no escape we have to leave the country.,"['going', 'say', 'luckily', 'got', 'maracaibo', 'everything', 'everywhere', 'escape', 'leave', 'country.']",I was going to say that luckily I got out of Maracaibo but everything is the same everywhere so there is no escape we have to leave the country.,"['going', 'say', 'luckily', 'got', 'maracaibo', 'everything', 'everywhere', 'escape', 'leave', 'country.']",tristeza
i was angry.,['angry.'],i was angry.,['angry.'],ira
I want to take 3/4 months off work to go backpacking up north and rethink my whole life on the trip with the possibility of never coming back.,"['want', 'take', '3/4', 'months', 'work', 'go', 'backpacking', 'north', 'rethink', 'whole', 'life', 'trip', 'possibility', 'never', 'coming', 'back.']",I want to take 3/4 months off work to go backpacking up north and rethink my whole life on the trip with the possibility of never coming back.,"['want', 'take', '3/4', 'months', 'work', 'go', 'backpacking', 'north', 'rethink', 'whole', 'life', 'trip', 'possibility', 'never', 'coming', 'back.']",felicidad
I want to slide into the dms but im too fucking shy #shy,"['want', 'slide', 'dms', 'im', 'fucking', 'shy', '#shy']",I want to slide into the dms but im too fucking shy #shy,"['want', 'slide', 'dms', 'im', 'fucking', 'shy', '#shy']",miedo
I want to slide into the dms but im too fucking shy ,"['want', 'slide', 'dms', 'im', 'fucking', 'shy']",I want to slide into the dms but im too fucking shy ,"['want', 'slide', 'dms', 'im', 'fucking', 'shy']",miedo
I want to make a GoFundMe to leave the country.,"['want', 'make', 'gofundme', 'leave', 'country.']",I want to make a GoFundMe to leave the country.,"['want', 'make', 'gofundme', 'leave', 'country.']",miedo
I want to leave the country intensifies.,"['want', 'leave', 'country', 'intensifies.']",I want to leave the country intensifies.,"['want', 'leave', 'country', 'intensifies.']",miedo
I want to get out of the country,"['want', 'get', 'country']",I want to get out of the country,"['want', 'get', 'country']",miedo
I want the smoky clouds of laughter to swim about you forever more..,"['want', 'smoky', 'clouds', 'laughter', 'swim', 'forever', 'more..']",I want the smoky clouds of laughter to swim about you forever more..,"['want', 'smoky', 'clouds', 'laughter', 'swim', 'forever', 'more..']",felicidad
I wanna see you smile I don't wanna see you make a frown,"['wanna', 'see', 'smile', 'wanna', 'see', 'make', 'frown']",I wanna see you smile I don't wanna see you make a frown,"['wanna', 'see', 'smile', 'wanna', 'see', 'make', 'frown']",tristeza
i wanna passion and fear,"['wanna', 'passion', 'fear']",i wanna passion and fear,"['wanna', 'passion', 'fear']",miedo
I urgently need to graduate and leave this country ,"['urgently', 'need', 'graduate', 'leave', 'country']",I urgently need to graduate and leave this country ,"['urgently', 'need', 'graduate', 'leave', 'country']",tristeza
"I urgently need to get out of this country, I can't stand this situation anymore.","['urgently', 'need', 'get', 'country,', ""can't"", 'stand', 'situation', 'anymore.']","I urgently need to get out of this country, I can't stand this situation anymore.","['urgently', 'need', 'get', 'country,', ""can't"", 'stand', 'situation', 'anymore.']",tristeza
I told my old man dw leave the country and he said that with his eviction he wanted to go to holanda,"['told', 'old', 'man', 'dw', 'leave', 'country', 'said', 'eviction', 'wanted', 'go', 'holanda']",I told my old man dw leave the country and he said that with his eviction he wanted to go to holanda,"['told', 'old', 'man', 'dw', 'leave', 'country', 'said', 'eviction', 'wanted', 'go', 'holanda']",tristeza
"I told my mom that I was thinking about the possibility of maybe leaving the country and she started crying like crazy, who sent me to have a Sagittarius mom...","['told', 'mom', 'thinking', 'possibility', 'maybe', 'leaving', 'country', 'started', 'crying', 'like', 'crazy,', 'sent', 'sagittarius', 'mom...']","I told my mom that I was thinking about the possibility of maybe leaving the country and she started crying like crazy, who sent me to have a Sagittarius mom...","['told', 'mom', 'thinking', 'possibility', 'maybe', 'leaving', 'country', 'started', 'crying', 'like', 'crazy,', 'sent', 'sagittarius', 'mom...']",tristeza
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,"['told', 'chiropractor', ""'i'm"", 'good', 'time', 'long', ""time'"", 'questioned', 'habits', 'yet', 'unnerved', 'doctor']",I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,"['told', 'chiropractor', ""'i'm"", 'good', 'time', 'long', ""time'"", 'questioned', 'habits', 'yet', 'unnerved', 'doctor']",tristeza
I thought the nausea and headaches had passed but lol I feel awful today,"['thought', 'nausea', 'headaches', 'passed', 'lol', 'feel', 'awful', 'today']",I thought the nausea and headaches had passed but lol I feel awful today,"['thought', 'nausea', 'headaches', 'passed', 'lol', 'feel', 'awful', 'today']",miedo
I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,"['thought', 'got', 'mad', 'anything', 'bf', 'gets', 'mad', 'little', 'thing', 'lmfao', 'shit', 'hilarious']",I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,"['thought', 'got', 'mad', 'anything', 'bf', 'gets', 'mad', 'little', 'thing', 'lmfao', 'shit', 'hilarious']",felicidad
"I think what 2016 to really needs to round it out is a @cthulhu4america vs @smod2016 twitter debate. End on something joyful, ya know?.","['think', '2016', 'really', 'needs', 'round', '@cthulhu4america', 'vs', '@smod2016', 'twitter', 'debate.', 'end', 'something', 'joyful,', 'ya', 'know?.']","I think what 2016 to really needs to round it out is a @cthulhu4america vs @smod2016 twitter debate. End on something joyful, ya know?.","['think', '2016', 'really', 'needs', 'round', '@cthulhu4america', 'vs', '@smod2016', 'twitter', 'debate.', 'end', 'something', 'joyful,', 'ya', 'know?.']",felicidad
I think they may be #offended,"['think', 'may', '#offended']",I think they may be #offended,"['think', 'may', '#offended']",ira
"I think Paul is what's bitter, not the pastry","['think', 'paul', ""what's"", 'bitter,', 'pastry']","I think Paul is what's bitter, not the pastry","['think', 'paul', ""what's"", 'bitter,', 'pastry']",ira
"I think it is time to get the Venezuelans out of the traffic lights.   They already had their time and opportunity to look for work, it is time for them to return to their country. We do not want more chaos in EC.","['think', 'time', 'get', 'venezuelans', 'traffic', 'lights.', 'already', 'time', 'opportunity', 'look', 'work,', 'time', 'return', 'country.', 'want', 'chaos', 'ec.']","I think it is time to get the Venezuelans out of the traffic lights.   They already had their time and opportunity to look for work, it is time for them to return to their country. We do not want more chaos in EC.","['think', 'time', 'get', 'venezuelans', 'traffic', 'lights.', 'already', 'time', 'opportunity', 'look', 'work,', 'time', 'return', 'country.', 'want', 'chaos', 'ec.']",ira
"I think it is the fear of leaving, she was well she went to the cube and they asked her about the possibility of leaving Venezuela.","['think', 'fear', 'leaving,', 'well', 'went', 'cube', 'asked', 'possibility', 'leaving', 'venezuela.']","I think it is the fear of leaving, she was well she went to the cube and they asked her about the possibility of leaving Venezuela.","['think', 'fear', 'leaving,', 'well', 'went', 'cube', 'asked', 'possibility', 'leaving', 'venezuela.']",tristeza
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,"['think', 'must', 'scare', 'coworkers', ""i'm"", 'eating', 'like', 'rabid', 'animal', 'breaks', '#srry']",I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,"['think', 'must', 'scare', 'coworkers', ""i'm"", 'eating', 'like', 'rabid', 'animal', 'breaks', '#srry']",ira
I take a strange delight from seeing mark Hughes struggle,"['take', 'strange', 'delight', 'seeing', 'mark', 'hughes', 'struggle']",I take a strange delight from seeing mark Hughes struggle,"['take', 'strange', 'delight', 'seeing', 'mark', 'hughes', 'struggle']",felicidad
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,"['swear', '@devincameron23', 'blocks', ""i'm"", 'going', 'hit', 'back', '#revenge']",I swear if @devincameron23 blocks me I'm going to hit her back #revenge,"['swear', '@devincameron23', 'blocks', ""i'm"", 'going', 'hit', 'back', '#revenge']",ira
I swear if @devincameron23 blocks me I'm going to hit her back ,"['swear', '@devincameron23', 'blocks', ""i'm"", 'going', 'hit', 'back']",I swear if @devincameron23 blocks me I'm going to hit her back ,"['swear', '@devincameron23', 'blocks', ""i'm"", 'going', 'hit', 'back']",ira
I swear I want to cry. I can't wait to get out of this country,"['swear', 'want', 'cry.', ""can't"", 'wait', 'get', 'country']",I swear I want to cry. I can't wait to get out of this country,"['swear', 'want', 'cry.', ""can't"", 'wait', 'get', 'country']",felicidad
I sulk too much for my own good.,"['sulk', 'much', 'good.']",I sulk too much for my own good.,"['sulk', 'much', 'good.']",tristeza
i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,"['stopped', 'watching', 'gotham', 'cause', 'dropped', 'tabitha', ""barb's"", 'relationship', 'made', 'pine', 'main']",i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,"['stopped', 'watching', 'gotham', 'cause', 'dropped', 'tabitha', ""barb's"", 'relationship', 'made', 'pine', 'main']",tristeza
"I still don't want to stay in Venezuela and I don't know what to do about it, there is still the possibility of leaving.","['still', 'want', 'stay', 'venezuela', 'know', 'it,', 'still', 'possibility', 'leaving.']","I still don't want to stay in Venezuela and I don't know what to do about it, there is still the possibility of leaving.","['still', 'want', 'stay', 'venezuela', 'know', 'it,', 'still', 'possibility', 'leaving.']",tristeza
